gameId,summonerName,champion,kills,deaths,assists,teamPosition,win,kda,cs,timePlayed
7790108081,,Ezreal,14,2,11,BOTTOM,True,12.5,275,1993
7785948631,,LeeSin,11,6,7,JUNGLE,True,3,195,1745
7786821575,,Veigar,8,4,6,MIDDLE,True,3.5,211,1599
7790531311,,Ornn,4,7,6,TOP,False,1.4285714285714286,193,2028
7769722234,,LeeSin,4,7,3,JUNGLE,False,1,94,1224
7782202485,,FiddleSticks,9,4,6,TOP,True,3.75,167,1392
7791681587,,Veigar,2,11,3,MIDDLE,False,0.45454545454545453,224,1864
7789132883,,MissFortune,5,8,19,BOTTOM,True,3,167,1810
7790191026,,Bard,3,12,7,UTILITY,False,0.8333333333333334,17,1754
7790034319,,Lucian,5,6,5,BOTTOM,False,1.6666666666666667,273,1696
7788693231,,Orianna,12,4,12,MIDDLE,False,6,258,2503
7789134228,,Smolder,15,5,9,BOTTOM,True,4.8,245,1657
7772465902,,Nautilus,5,4,18,UTILITY,True,5.75,16,1887
7756760734,,Sivir,7,8,13,BOTTOM,True,2.5,225,1799
7789187598,,Ezreal,2,5,3,BOTTOM,False,1,110,1220
7696998603,,Rakan,1,1,1,UTILITY,False,2,15,1042
7780767265,,Neeko,3,2,16,UTILITY,True,9.5,31,1474
7787023738,,Blitzcrank,2,9,12,UTILITY,False,1.5555555555555556,20,1893
7785434404,,Aphelios,4,2,2,BOTTOM,True,3,184,1466
7773758371,,Sylas,3,5,2,MIDDLE,False,1,146,1263
7791646412,,Yone,3,10,12,MIDDLE,False,1.5,265,2322
7789197374,,Vladimir,12,3,10,TOP,True,7.333333333333333,209,1718
7782611538,,Mel,4,5,9,UTILITY,True,2.6,37,1628
7784269548,,Yunara,15,7,9,BOTTOM,True,3.4285714285714284,262,1839
7789583371,,Briar,11,13,4,JUNGLE,False,1.1538461538461537,134,1680
7779576213,,Xayah,0,0,0,BOTTOM,False,0,0,49
7770024342,,Sylas,7,4,0,MIDDLE,False,1.75,97,969
7773674055,,Rumble,3,2,3,TOP,False,3,101,997
7788318250,,LeeSin,2,4,3,JUNGLE,False,1.25,85,923
7664976982,,Leblanc,3,2,3,MIDDLE,False,3,100,1091
7779767710,,Nautilus,1,7,1,UTILITY,False,0.2857142857142857,43,1222
7762527029,,Yunara,6,6,11,BOTTOM,True,2.8333333333333335,317,2113
7787500749,,Ezreal,4,4,6,BOTTOM,False,2.5,229,1801
7747796198,,Maokai,4,11,22,UTILITY,True,2.3636363636363638,40,1982
7785674195,,Lulu,3,14,10,UTILITY,False,0.9285714285714286,24,1688
7783947500,,Amumu,5,12,27,UTILITY,False,2.6666666666666665,29,1876
7782431192,,Ryze,3,4,3,MIDDLE,False,1.5,201,1575
7791061245,,Volibear,13,9,1,TOP,False,1.5555555555555556,205,1593
7778715054,,Yasuo,7,14,14,TOP,False,1.5,232,2214
7751881626,,Yorick,1,4,0,TOP,False,0.25,103,914
7782563680,,Yorick,7,9,9,TOP,True,1.7777777777777777,251,2018
7782664328,,Lucian,18,6,12,BOTTOM,True,5,433,2658
7787592714,,Teemo,2,4,0,TOP,False,0.5,116,923
7776479051,,Viego,7,11,11,JUNGLE,False,1.6363636363636365,123,1713
7760729861,,Viego,0,4,2,JUNGLE,False,0.5,111,917
7791532910,,Lucian,0,4,0,BOTTOM,False,0,162,1175
7791072399,,Urgot,4,5,2,TOP,True,1.2,179,1341
7790366597,,Ambessa,0,5,6,TOP,True,1.2,125,1322
7780388504,,Qiyana,4,8,5,MIDDLE,False,1.125,153,1602
7791281938,,Hwei,10,3,13,MIDDLE,True,7.666666666666667,189,2016
7790905000,,Azir,7,5,2,MIDDLE,False,1.8,228,1915
7783677987,,Fiora,4,3,1,TOP,True,1.6666666666666667,207,1363
7791176408,,Diana,6,3,16,MIDDLE,True,7.333333333333333,220,1905
7791794687,,Nidalee,15,12,11,JUNGLE,False,2.1666666666666665,231,2349
7784726908,,Kayn,6,17,11,TOP,True,1,226,1890
7787596498,,Brand,0,6,11,UTILITY,True,1.8333333333333333,30,1701
7783167850,,Shaco,4,8,1,JUNGLE,False,0.625,113,1291
7765062183,,Rumble,6,5,14,TOP,False,4,259,2105
7790784511,,Karma,1,2,19,UTILITY,True,10,51,1558
7781212943,,Aurora,3,0,0,TOP,True,3,145,911
7768986894,,Azir,3,9,10,MIDDLE,False,1.4444444444444444,268,2536
7791820744,,Draven,11,7,11,BOTTOM,True,3.142857142857143,276,2209
7791155990,,Xerath,1,6,3,UTILITY,False,0.6666666666666666,59,1359
7790916788,,Karma,2,8,2,TOP,False,0.5,143,1536
7790725393,,LeeSin,10,1,9,JUNGLE,True,19,177,1476
7771825906,,Pantheon,8,7,2,JUNGLE,False,1.4285714285714286,143,1539
7754764865,,LeeSin,7,6,15,JUNGLE,False,3.6666666666666665,204,2007
7777370790,,Anivia,0,3,7,MIDDLE,False,2.3333333333333335,161,1438
7790578430,,Kalista,2,16,1,TOP,False,0.1875,206,1813
7787734542,,Zyra,7,6,21,JUNGLE,True,4.666666666666667,210,1965
7790812800,,Caitlyn,10,5,14,BOTTOM,True,4.8,265,1747
7780711062,,Vi,0,4,2,JUNGLE,False,0.5,96,917
7784797510,,Yasuo,7,9,5,MIDDLE,False,1.3333333333333333,253,2165
7769224685,,Varus,8,14,3,TOP,False,0.7857142857142857,215,2038
7738414222,,Ezreal,2,3,8,BOTTOM,True,3.3333333333333335,253,1937
7791447496,,Fiora,0,2,3,TOP,False,1.5,141,1171
7760784486,,Kaisa,17,5,11,BOTTOM,True,5.6,288,2014
7785959892,,Galio,0,6,2,MIDDLE,False,0.3333333333333333,115,1188
7726050370,,Elise,6,10,7,UTILITY,False,1.3,37,1576
